place,title,time,pay,date
경기 광주시,노랑통닭 광주태전점,16:00~01:00,"시급8,600",1분전
경기 광주시,노랑통닭 광주태전점,16:00~01:00,"시급8,600",6분전
경기 광주시,노랑통닭 곤지암점,17:00~02:30,"월급2,500,000",20분전
경기 화성시,노랑통닭 화성시청점,13:00~01:00,"월급2,500,000",27분전
인천 남동구,노랑통닭 만수역점,15:00~03:00,"월급2,500,000",41분전
인천 남동구,노랑통닭 만수역점,15:00~03:00,"월급2,500,000",42분전
서울 강남구,노랑통닭 논현역점,18:00~02:00,"시급9,000",44분전
인천 남동구,노랑통닭 인천논현점,18:00~23:00,"시급9,000",1시간전
경기 안양시,노랑통닭 안양1번가점,16:00~02:00,"월급2,400,000",1시간전
인천 남동구,노랑통닭 인천논현점,15:00~02:00,"월급2,850,000",2시간전
인천 남동구,노랑통닭 인천논현점,18:00~23:00,"시급9,000",2시간전
서울 관악구,노랑통닭 서울대점,18:00~23:00,"시급8,700",2시간전
경기 부천시,노랑통닭 부천역점,17:00~03:00,"월급2,500,000",2시간전
경기 부천시,노랑통닭 부천상동점,18:00~24:00,"시급8,590",2시간전
인천 미추홀,노랑통닭 인천 주안점,16:00~02:30,"월급2,300,000",2시간전
서울 노원구,노랑통닭 중계점,16:00~03:00,"월급2,600,000",3시간전
경기 남양주,노랑통닭 퇴계원점,17:30~23:30,"시급8,590",3시간전
경기 이천시,노랑통닭 이천하이닉스점,18:00~12:00,"시급9,500",3시간전
서울 광진구,노랑통닭 건대점,18:30~22:30,"시급8,700",3시간전
서울 광진구,노랑통닭 건대점,18:30~22:30,"시급8,700",3시간전
서울 강남구,노랑통닭 논현역점,18:00~02:00,"시급9,000",3시간전
대구 달서구,노랑통닭 대구 성서점,18:00~21:00,"시급8,600",4시간전
서울 동작구,노랑통닭 노량진점,18:00~00:00,"시급8,350",4시간전
서울 동작구,노랑통닭 노량진점,18:00~00:00,"시급8,350",4시간전
서울 동작구,노랑통닭 노량진점,18:00~00:00,"시급8,350",4시간전
서울 동작구,노랑통닭 노량진점,18:00~00:00,"시급8,350",4시간전
경기 고양시,노랑통닭 고양점,15:00~02:00,"월급2,700,000",4시간전
경북 구미시,노랑통닭 구미봉곡점,18:00~24:00,"시급9,000",4시간전
전국 전체,노랑통닭 철산점,16:00~02:00,"월급2,500,000",4시간전
서울 노원구,노랑통닭 공릉점,18:00~23:00,"시급8,590",4시간전
서울 노원구,노랑통닭 공릉점,18:00~23:00,"시급8,590",4시간전
경기 구리시,노랑통닭 구리수택점,18:00~24:00,"시급8,590",4시간전
경기 시흥시,노랑통닭 시흥 목감점,18:00~11:00,"시급10,000",4시간전
서울 노원구,노랑통닭 공릉점,18:00~23:00,"시급8,590",4시간전
경기 시흥시,노랑통닭 시흥 목감점,18:00~11:00,"시급10,000",4시간전
서울 노원구,노랑통닭 공릉점,18:00~23:00,"시급8,590",4시간전
서울 강북구,노랑통닭 수유점,16:00~03:00,"월급2,500,000",5시간전
경기 수원시,노랑통닭 아주대점,17:00~03:00,"월급2,500,000",5시간전
서울 은평구,노랑통닭 은평 뉴타운점,17:00~00:00,"시급11,000",5시간전
서울 은평구,노랑통닭 은평 뉴타운점,17:00~00:00,"시급11,000",5시간전
