place,title,time,pay,date
경기 고양시,생각대로 생각대로 원당점,10:00~22:00,"일급150,000",2분전
경기 고양시,생각대로 생각대로 원당점,10:00~22:00,"일급150,000",2분전
광주 전체,생각대로 동구금동점,10:30~04:00,"월급4,000,000",25분전
부산 전체,생각대로 명륜동래점,10:00~02:00,"건별3,000",26분전
서울 강서구,생각대로 강서지부,00:00~24:00,"건별3,500",26분전
부산 전체,생각대로 금정2호점,10:00~02:00,"건별3,000",26분전
인천 남동구,생각대로 간석서부지사,10:00~10:00,"건별3,000",34분전
서울 은평구,생각대로 DMC가좌점,00:10~00:00,"일급200,000",36분전
서울 서대문,생각대로 DMC가좌점,00:10~00:00,"일급200,000",36분전
서울 마포구,생각대로 서강점,00:10~00:00,"일급200,000",36분전
서울 서대문,생각대로 서강점,00:10~00:00,"일급200,000",36분전
서울 용산구,생각대로 서강점,00:10~00:00,"일급200,000",36분전
서울 서대문,생각대로 망원성산점,00:10~00:00,"일급200,000",36분전
서울 은평구,생각대로 망원성산점,00:10~00:00,"일급200,000",36분전
서울 마포구,생각대로 마포신촌지사,00:00~24:00,"일급200,000",38분전
서울 마포구,생각대로 마포신촌지사,00:00~24:00,"일급200,000",38분전
부산 남구,생각대로 대연1호점,10:00~02:00,"건별3,000",43분전
부산 수영구,생각대로 남구용호1호점,10:00~02:00,"건별3,000",43분전
부산 부산진,생각대로 부산진구8호점,10:00~02:00,"건별3,000",43분전
부산 강서구,생각대로 명지3호점,10:00~02:00,"건별3,000",44분전
부산 금정구,생각대로 금정5호점,10:00~02:00,"건별3,000",44분전
부산 연제구,생각대로 연제구1호점,11:00~02:00,"건별3,000",44분전
충북 제천시,생각대로 제천통합센타,10:30~02:00,"건별3,000",46분전
부산 연제구,생각대로 연산점,10:00~02:00,"시급15,000",49분전
부산 연제구,생각대로 연산점,10:00~02:00,"시급15,000",50분전
대전 전체,생각대로 서구점-6,10:00~02:00,"일급150,000",50분전
대전 전체,생각대로 서구점-6,10:00~02:00,"일급150,000",51분전
서울 서대문,생각대로 연희점,11:00~03:00,"시급20,000",51분전
인천 서구,생각대로 검단FDC 1지사,10:30~01:00,"일급200,000",52분전
인천 서구,생각대로 검단FDC 1지사,10:30~01:00,"일급200,000",52분전
인천 서구,생각대로 검단FDC 1지사,10:30~01:00,"일급200,000",52분전
인천 계양구,생각대로 작전남부지사,10:00~03:00,"월급5,000,000",54분전
부산 연제구,생각대로 생각대로 연제구2호점,11:00~02:00,"시급15,000",55분전
부산 동래구,생각대로 생각대로 연제구2호점,11:00~02:00,"시급15,000",55분전
부산 남구,생각대로 조방점,11:00~22:00,"월급4,000,000",1시간전
부산 사상구,생각대로 생각대로 사상구2호점,10:00~02:00,"건별3,000",1시간전
부산 사상구,생각대로 생각대로 사상구2호점,10:00~02:00,"건별3,000",1시간전
부산 사상구,생각대로 괘법3호점,10:00~02:00,"건별3,000",1시간전
부산 사상구,생각대로 괘법3호점,10:00~02:00,"건별3,000",1시간전
서울 동작구,생각대로 동작지사,09:00~02:00,"일급150,000",1시간전
