place,title,time,pay,date
부산 수영구,제트콜 부산수영총판-배달대행,07:00~07:00,"일급150,000",12분전
부산 수영구,제트콜 부산수영총판-배달대행,07:00~07:00,"일급150,000",12분전
부산 수영구,제트콜 부산수영총판-배달대행,07:00~07:00,"일급150,000",13분전
부산 부산진,제트콜 부산서면총판-배달대행,09:00~08:00,"일급150,000",25분전
부산 부산진,제트콜 부산서면총판-배달대행,09:00~08:00,"일급150,000",28분전
부산 남구,제트콜 부산문전총판-배달대행,09:00~02:00,"일급150,000",44분전
부산 남구,제트콜 부산문전총판-배달대행,09:00~02:00,"일급150,000",45분전
충북 청주시,제트콜 청주상당,11:00~01:00,"월급3,000,000",1시간전
충북 청주시,제트콜 청주상당,11:00~01:00,"월급3,000,000",1시간전
서울 성북구,제트콜 서울강북월곡-배달대행,18:00~24:00,"건별3,200",1시간전
서울 성북구,제트콜 서울강북월곡-배달대행,18:00~24:00,"건별3,200",1시간전
서울 성북구,제트콜 서울강북월곡-배달대행,18:00~24:00,"건별3,200",1시간전
부산 남구,제트콜 부산남구총판-배달대행,09:00~03:00,"일급150,000",2시간전
대구 달서구,(주)제트콜 대구사업본부-배달대행,11:00~02:00,"건별3,000",2시간전
대구 달서구,제트콜 대구사업본부,18:00~24:00,"시급20,000",2시간전
경기 평택시,제트콜 평택포승지사,10:30~03:00,"월급4,000,000",3시간전
서울 노원구,제트콜 서울노원지사-배달대행,10:00~02:00,"건별3,300",3시간전
서울 노원구,제트콜 서울노원지사-배달대행,10:00~02:00,"건별3,300",3시간전
서울 노원구,제트콜 서울노원지사-배달대행,10:00~02:00,"건별3,300",3시간전
부산 동래구,제트콜 제트콜부산안락지사-배달대행,11:00~01:00,"월급4,000,000",4시간전
부산 동래구,제트콜 제트콜부산안락지사-배달대행,11:00~01:00,"월급4,000,000",4시간전
서울 강북구,제트콜 서울강북미아지사-배달대행,08:30~02:00,"건별3,200",5시간전
서울 강북구,제트콜 서울강북미아지사-배달대행,08:30~02:00,"건별3,200",5시간전
서울 동대문,제트콜 서울동대문구1지사-배달대행,11:00~23:00,"시급20,000",5시간전
서울 동대문,제트콜 서울동대문구1지사-배달대행,11:00~23:00,"시급20,000",5시간전
서울 강북구,제트콜 서울강북미아지사-배달대행,08:30~02:00,"건별3,200",5시간전
부산 해운대,(주)제트콜 부산해운대지사-배달대행,10:00~03:00,"건별4,000",7시간전
부산 해운대,(주)제트콜 부산해운대지사-배달대행,10:00~03:00,"일급180,000",7시간전
부산 남구,제트콜 부산남구총판-배달대행,09:00~03:00,"일급150,000",04/19
인천 남동구,제트콜 인천송현지사-배달대행,11:00~01:00,"일급250,000",04/17
인천 중구,제트콜 인천송현지사-배달대행,11:00~01:00,"일급250,000",04/17
인천 미추홀,제트콜 인천송현지사-배달대행,11:00~01:00,"일급250,000",04/17
인천 전체,제트콜 인천중동구지사-배달대행,11:00~02:00,"일급250,000",04/16
인천 전체,제트콜 인천중동구지사-배달대행,11:00~02:00,"일급250,000",04/16
서울 도봉구,제트콜 서울도봉지사-배달대행,09:00~09:00,"일급250,000",04/16
서울 서대문,제트콜 은평지사,09:30~03:00,"월급4,000,000",04/15
서울 은평구,제트콜 은평지사,09:30~03:00,"월급4,000,000",04/15
서울 도봉구,제트콜 서울도봉지사-배달대행,09:00~23:00,"일급250,000",04/13
서울 도봉구,제트콜 서울도봉지사-배달대행,09:00~23:00,"일급250,000",04/13
경남 김해시,제트콜 경남김해지사-배달대행,11:00~01:00,"일급150,000",04/12
