place,title,time,pay,date
서울 강동구,7번가피자 성내점,17:00~22:00,"시급10,500",7분전
서울 강동구,7번가피자 성내점,17:00~22:00,"시급10,500",11분전
전남 순천시,7번가피자 순천신대점,16:00~22:00,"시급8,800",3시간전
경기 고양시,7번가피자 화정점,18:00~10:30,"월급1,100,000",3시간전
전남 순천시,7번가피자 순천신대점,16:00~22:00,"시급8,800",5시간전
서울 동대문,7번가피자 장안점,16:00~22:00,"시급9,000",5시간전
서울 동대문,7번가피자 장안점,16:00~22:00,"시급9,000",5시간전
서울 강동구,7번가피자 성내점,17:00~22:00,"시급10,500",6시간전
서울 송파구,7번가피자 잠실새내점,17:00~22:00,"시급8,590",7시간전
서울 강동구,7번가피자 성내점,17:00~22:00,"시급10,500",7시간전
서울 강동구,7번가피자 성내점,17:00~22:00,"시급10,500",8시간전
충북 청주시,7번가피자 율량점,12:00~23:00,"시급8,700",8시간전
경기 용인시,7번가피자 동백점,16:00~22:00,"시급8,590",14시간전
대전 대덕구,7번가피자 송촌점,11:00~21:00,"월급2,000,000",04/19
경기 용인시,7번가피자 동백점,16:00~22:00,"시급8,590",04/18
경기 수원시,7번가피자 수원정자점,18:00~23:00,"시급8,590",04/18
경기 고양시,7번가피자 화정점,18:00~10:30,"월급1,100,000",04/17
서울 서초구,칠번가피자  서초교대점,11:00~22:00,"월급2,200,000",04/17
서울 성동구,7번가피자한양대점,11:00~23:00,"시급10,500",04/14
대구 북구,7번가피자 칠곡점,18:00~23:00,"시급9,200",04/14
전국 전체,7번가피자 강일점,11:00~22:30,"시급8,590",04/11
서울 구로구,패스트앤베스트,11:00~24:00,"월급3,000,000",04/10
대전 유성구,7번가피자 노은점,18:00~23:30,"시급10,000",04/10
대구 동구,7번가피자 이시아폴리스점,17:00~22:00,"시급8,590",04/09
경기 용인시,7번가피자 수지점,11:00~22:00,"월급2,500,000",04/04
