place,title,time,pay,date
경북 구미시,CU 구미한신점,00:00~08:00,"시급8,590",1분전
서울 노원구,CU 공릉과기대점,00:00~07:00,"시급8,590",2분전
경북 구미시,CU 구미한신점,00:00~09:00,"시급8,590",2분전
서울 성동구,CU 옥수점,24:00~07:00,"시급9,000",6분전
서울 구로구,CU 남구로한남점,23:00~09:00,"시급8,590",9분전
울산 울주군,CU 덕신상하이점,16:00~24:00,"시급8,680",9분전
서울 강동구,CU 강동그라시움점,23:00~10:00,"시급8,590",10분전
부산 사하구,CU 신평역점,08:00~13:00,"시급8,590",11분전
경기 시흥시,CU 대야다온점,18:00~01:00,"시급8,590",13분전
부산 남구,CU 신대연여명점,16:00~23:00,"시급8,590",14분전
울산 북구,CU 울산연암엘지점,23:00~09:00,"시급8,590",15분전
경기 광주시,CU 오포왕림점,23:00~06:00,"시급8,590",15분전
서울 강서구,CU 김포국제공항2호점,06:00~12:00,"시급8,600",18분전
서울 강서구,CU 김포국제공항2호점,06:00~12:00,"시급8,600",18분전
부산 남구,CU 문현블루점,15:00~22:00,"시급8,590",19분전
서울 강남구,CU 대치플러스점,09:00~16:00,"시급8,590",19분전
경북 영주시,CU 풍기동양대원룸점,00:00~08:00,"시급8,590",21분전
경기 평택시,CU 평택온누리점,22:00~07:00,"시급8,590",21분전
경기 전체,CU 신흥강자점,22:00~08:00,"시급8,590",23분전
강원 고성군,CU 고성공현진해변점,24:00~09:00,"시급8,590",25분전
인천 연수구,CU 청학플러스점,16:00~22:00,"시급8,590",28분전
인천 연수구,CU 청학플러스점,16:00~22:00,"시급8,590",28분전
인천 연수구,CU 청학플러스점,16:00~22:00,"시급8,590",28분전
경기 용인시,CU 용인보라주공점,18:00~24:00,"시급8,590",28분전
광주 광산구,CU월곡중앙점,21:00~07:00,"시급8,590",30분전
서울 성동구,CU 한양대2생활관점,20:00~01:30,"시급8,590",30분전
서울 강남구,CU 자곡힐스테이트점,10:00~16:30,"시급8,600",31분전
경기 성남시,CU 성남광명로점,01:00~07:00,"시급8,590",31분전
경기 화성시,CU 동탄부영사랑점,22:00~08:00,"시급8,600",35분전
인천 계양구,CU 작전까치점,17:00~24:00,"시급8,590",37분전
서울 용산구,CU 용산남영점,22:00~08:00,"시급8,590",38분전
서울 강남구,CU 삼성암센터점,14:00~21:00,"시급8,700",38분전
서울 강남구,CU 논현혜성점,14:00~23:00,"시급8,590",41분전
경기 수원시,CU 광교더샵점,16:30~22:30,"시급8,590",43분전
인천 부평구,CU 동암비버리씨티점,09:00~16:00,"시급8,590",43분전
인천 부평구,CU 동암비버리씨티점,16:00~23:00,"시급8,590",43분전
경기 용인시,CU 마평중부점,12:00~23:00,"시급8,590",49분전
경기 용인시,CU 마평중부점,12:00~23:00,"시급8,590",49분전
인천 동구,CU 동구제물량점,20:00~10:00,"시급8,590",49분전
서울 광진구,CU 중곡중마점,22:00~08:00,"시급8,600",51분전
