place,title,time,pay,date
서울 강남구,GS25대치스카이점,22:00~08:00,"시급8,590",1분전
부산 전체,GS25괘법스타점,20:00~08:00,"시급8,590",1분전
경기 부천시,GS25중동해중점,23:00~09:00,"시급8,590",1분전
경기 부천시,GS25중동해중점,23:00~09:00,"시급8,590",1분전
서울 마포구,GS25성산행복점,23:30~08:00,"시급8,590",3분전
서울 마포구,GS25홍대프린스점,15:00~22:00,"시급8,590",4분전
인천 중구,GS25루프테라스점,시간협의,"시급8,590",4분전
경기 화성시,GS25남양신남로점,시간협의,"시급8,590",5분전
경기 용인시,GS25신갈주공점,시간협의,"시급8,590",6분전
서울 구로구,GS25 포스빌점,22:00~08:00,"시급8,950",6분전
울산 북구,GS25진장시온점,17:00~22:00,"시급8,590",7분전
대구 서구,GS25대구대평점,15:50~23:00,"시급8,590",7분전
서울 강동구,GS25 GS25암사팰리스점,22:00~08:00,"시급8,590",8분전
경기 구리시,GS25구리하나점,22:00~08:00,"시급8,590",8분전
서울 광진구,GS25 건국점,23:00~08:00,"시급8,590",9분전
서울 광진구,GS25 건국점,23:00~08:00,"시급8,590",9분전
서울 광진구,GS25 건국점,23:00~08:00,"시급8,590",9분전
서울 광진구,GS25 건국점,23:00~08:00,"시급8,590",10분전
서울 강서구,GS25방화행복점,22:00~08:00,"시급8,600",10분전
울산 동구,GS25울산옥류점,시간협의,"시급8,590",10분전
충북 청주시,GS25오창하이츠점,18:00~00:00,"시급8,590",15분전
경기 수원시,GS25화서역점,23:00~06:00,"시급8,590",15분전
서울 도봉구,GS25쌍문도봉길점,23:00~07:00,"시급8,590",15분전
서울 금천구,GS25금천벽산타운점,23:00~08:00,"시급8,800",15분전
경기 구리시,GS25인창삼보점,00:00~08:00,"시급8,590",16분전
경남 진주시,GS25상대한보점,23:00~09:00,"시급8,590",19분전
전남 순천시,GS25연향타운점,22:00~08:00,"시급8,590",19분전
경기 파주시,GS25운정비발디점,00:00~24:00,"시급8,590",20분전
충북 증평군,GS25증평삼보점,23:00~08:00,"시급8,590",20분전
경기 평택시,GS25고덕센트럴점,13:00~20:00,"시급9,000",21분전
대구 동구,GS25신천트윈점,23:00~08:00,"시급8,590",22분전
대구 동구,GS25신천트윈점,23:00~08:00,"시급8,590",22분전
인천 서구,GS25가정풍경채점,08:00~16:00,"시급8,590",25분전
경기 성남시,GS25 신규오픈44호점,21:00~08:00,"시급8,590",28분전
충남 홍성군,GS25홍성의료원점,15:00~22:00,"시급8,590",28분전
경기 광주시,GS25태전중앙점,시간협의,"시급8,590",29분전
세종 전체,GS25세종시티점,15:00~22:00,"시급8,590",33분전
대구 수성구,GS25 신규오픈27호점,17:00~24:00,"시급8,590",34분전
대구 전체,GS25중동원룸점,08:00~16:00,"시급8,590",36분전
대구 전체,GS25중동원룸점,08:00~16:00,"시급8,590",36분전
