place,title,time,pay,date
서울 영등포,여의도,09:00~17:00,"연봉24,500,000",44분전
서울 전체,KFC 불광역,09:00~24:00,"연봉28,000,000",46분전
서울 은평구,응암역,09:00~24:00,"시급8,590",54분전
서울 은평구,응암역,09:00~18:00,"연봉24,500,000",56분전
서울 서대문,KFC 신촌역,09:30~23:00,"연봉24,500,000",2시간전
경기 성남시,정자역,18:00~24:00,"시급8,590",2시간전
서울 관악구,서울대입구역,12:00~24:50,"시급8,590",2시간전
서울 마포구,홍익대,10:00~18:00,"시급8,590",2시간전
경기 성남시,서현역,16:00~24:00,"시급8,590",3시간전
충남 당진시,청주메가폴리스,09:30~23:00,"시급8,590",18시간전
경기 과천시,서울대공원,09:00~18:00,"시급8,590",04/18
인천 전체,부평역,17:00~24:00,"시급8,590",04/16
서울 중랑구,사가정,08:00~03:00,"시급8,590",04/13
서울 서초구,KFC 강남역점,17:00~24:30,"시급8,590",04/13
서울 서초구,KFC 강남역점,17:00~23:00,"시급8,590",04/13
충남 당진시,청주메가폴리스,09:30~23:00,"시급8,590",04/13
충남 당진시,청주메가폴리스,09:30~23:00,"시급8,590",04/13
부산 기장군,부산정관,15:00~19:00,"시급8,590",04/12
경기 성남시,분당정자,09:30~23:00,"시급8,590",04/11
충남 당진시,청주메가폴리스,09:30~23:00,"시급8,590",04/10
대전 중구,대전오류동,16:00~23:00,"시급8,590",04/09
인천 전체,부평역,17:00~24:00,"시급8,590",04/09
경기 성남시,KFC 성남태평,09:00~24:00,"시급8,590",04/08
서울 서초구,강남고속터미널,18:00~01:00,"시급8,590",04/08
서울 영등포,동여의도,09:30~22:30,"시급8,590",04/05
경기 과천시,서울대공원,09:00~20:00,"시급8,590",04/05
