place,title,time,pay,date
경남 진주시,iCOOP,10:00~19:00,"연봉27,200,000",32분전
서울 서대문,자연드림 북가좌점,17:00~20:00,"시급10,000",2시간전
경남 창원시,iCOOP,10:00~19:00,"연봉27,200,000",2시간전
부산 남구,자연드림 부산 용호점,08:00~15:00,"시급9,000",3시간전
대구 수성구,자연드림 대구신매점,07:00~10:00,"시급10,000",3시간전
경북 구미시,자연드림 구미봉곡점,08:00~11:00,"시급10,000",3시간전
전남 여수시,iCOOP,18:00~22:00,"시급10,000",3시간전
전남 여수시,iCOOP,08:00~15:00,"시급10,000",3시간전
경남 김해시,iCOOP자연드림,08:30~15:00,"시급10,000",3시간전
광주 광산구,자연드림 광주수완2호점,16:00~20:30,"시급10,000",3시간전
경북 포항시,자연드림 포항두호점,08:00~14:00,"시급10,000",5시간전
부산 동래구,자연드림 부산 사직점,07:00~09:00,"시급9,000",6시간전
울산 동구,자연드림 울산전하점,09:00~13:30,"시급9,000",7시간전
대구 수성구,자연드림 대구황금점,08:00~10:00,"시급10,000",04/19
경기 수원시,iCOOP,07:00~10:30,"월급1,095,000",04/18
경기 수원시,iCOOP,07:00~10:30,"월급1,095,000",04/18
전남 목포시,자연드림 목포 상동점,13:30~20:00,"시급10,000",04/18
전남 목포시,자연드림 목포 상동점,07:00~13:30,"시급10,000",04/18
경기 의정부,의정부장암점 (자연드림),16:00~22:00,"시급10,000",04/17
전남 순천시,자연드림 순천 연향점,08:00~15:00,"시급10,000",04/17
경기 의정부,의정부장암점 (자연드림),16:00~22:00,"시급10,000",04/17
경기 부천시,자연드림 부천복사골,08:00~10:00,"시급10,000",04/17
경기 부천시,자연드림 부천복사골,08:00~10:00,"시급10,000",04/17
경기 안양시,안양일번가점 (자연드림),08:00~10:00,"시급10,000",04/17
충북 충주시,(주)쿱스토어강원 충주연수점,08:00~17:00,"연봉28,650,000",04/14
강원 원주시,(주)쿱스토어강원 원주무실점or혁신점,08:00~17:00,"연봉28,650,000",04/14
세종 고운동,세종 고운점(자연드림),07:00~09:00,"시급10,000",04/13
경기 광명시,자연드림 광명소하점,08:00~10:00,"시급10,000",04/13
경기 부천시,자연드림 부천복사골,08:00~10:00,"시급10,000",04/12
경기 부천시,자연드림 부천복사골,08:00~10:00,"시급10,000",04/12
경남 김해시,자연드림 장유율하점,15:00~22:00,"시급10,000",04/11
전남 여수시,iCOOP,08:00~15:00,"시급10,000",04/10
경기 용인시,자연드림 경기동남부,07:00~12:00,"월급1,408,000",04/08
대구 수성구,자연드림 대구황금점,09:00~18:00,"연봉27,500,000",04/07
대구 북구,자연드림 대구침산점,10:00~19:00,"연봉27,500,000",04/07
충남 서산시,자연드림 대전충청 서산예천점,09:00~11:30,"시급10,000",04/07
전북 익산시,자연드림 익산 영등점,08:00~10:00,"시급10,000",04/05
전북 남원시,자연드림 남원도통점,08:00~15:00,"시급10,000",04/05
충북 청주시,iCOOP 자연드림 (SAPENet),07:00~09:00,"시급10,000",04/05
