place,title,time,pay,date
서울 강남구,교촌치킨 도곡,17:00~02:30,"월급2,100,000",4분전
서울 강동구,교촌치킨 암사2호,11:50~24:20,"월급2,700,000",4분전
인천 부평구,교촌치킨 인천 산곡1호,18:00~23:00,"시급10,000",6분전
서울 강남구,교촌치킨 도곡,17:00~02:30,"월급2,100,000",10분전
경기 안양시,교촌치킨 안양1호,18:00~24:00,"시급11,000",20분전
경기 고양시,교촌치킨 원흥,12:00~24:00,"월급2,700,000",22분전
경기 고양시,교촌치킨 원흥,17:00~24:00,"월급1,900,000",22분전
경기 고양시,교촌치킨 고양 삼송,17:00~24:00,"월급1,900,000",23분전
서울 강서구,교촌치킨 서울 방화2호,18:00~24:00,"시급11,000",28분전
서울 강서구,교촌치킨 서울 방화2호,18:00~01:00,"월급1,800,000",28분전
서울 강서구,교촌치킨 서울 방화2호,12:00~00:00,"월급3,000,000",29분전
부산 사하구,교촌치킨 괴정1호,17:30~01:30,"월급2,000,000",29분전
서울 강서구,교촌치킨 까치산역,17:00~04:00,"월급3,200,000",37분전
강원 속초시,교촌치킨 속초 조양,18:00~24:00,"시급8,590",38분전
서울 중랑구,교촌치킨 중화,18:00~24:00,"시급8,590",41분전
서울 중랑구,교촌치킨 중화,18:00~24:00,"시급10,000",43분전
전남 목포시,교촌치킨 목포 옥암,17:30~23:30,"월급1,600,000",58분전
서울 마포구,교촌치킨 신수,18:00~23:00,"월급3,100,000",59분전
서울 마포구,교촌치킨 신수,18:00~23:00,"월급3,100,000",59분전
서울 마포구,교촌치킨 신수,18:00~23:00,"월급3,100,000",59분전
서울 마포구,교촌치킨 신수,18:00~23:00,"월급3,100,000",59분전
서울 광진구,교촌치킨 서울 중곡1호,12:00~24:00,"월급3,000,000",1시간전
서울 도봉구,교촌치킨 쌍문1호,17:00~24:00,"시급8,590",1시간전
서울 도봉구,교촌치킨 쌍문1호,17:00~24:00,"시급8,590",1시간전
서울 도봉구,교촌치킨 쌍문1호,17:00~24:00,"시급8,590",1시간전
서울 서초구,교촌치킨 서울 서초2호,11:00~11:00,"일급130,000",1시간전
서울 중랑구,교촌치킨 망우본동,18:00~24:00,"시급10,000",1시간전
서울 중랑구,교촌치킨 망우본동,18:00~24:00,"시급10,000",1시간전
인천 미추홀,교촌치킨 인천 주안3호,18:00~24:00,"시급11,000",1시간전
대전 중구,교촌치킨 대사부사점,17:00~00:00,"시급10,000",2시간전
대전 전체,교촌치킨 대사부사점,17:00~24:00,"시급8,600",2시간전
경북 경산시,교촌치킨 경산 하양,17:00~24:00,"월급1,800,000",2시간전
인천 미추홀,교촌치킨 주안2호점,11:00~17:30,"월급1,300,000",2시간전
경남 창원시,교촌치킨 상남,18:00~01:00,"시급8,600",2시간전
서울 관악구,교촌치킨 서울 봉천4호,18:00~01:00,"시급10,500",2시간전
강원 춘천시,교촌치킨 춘천시청,18:00~24:00,"시급8,590",2시간전
충남 서산시,교촌치킨 서산 동문,18:00~24:00,"시급8,590",2시간전
경기 화성시,교촌치킨 화성 동탄1호,17:30~10:00,"시급8,600",2시간전
경기 수원시,교촌치킨 우만1호,18:00~24:00,"시급10,000",2시간전
경기 화성시,교촌치킨 화성 동탄1호,17:30~10:00,"시급8,600",2시간전
