place,title,time,pay,date
전남 목포시,롯데리아 목포상동점,00:00~24:00,"시급8,590",1분전
전남 목포시,롯데리아 목포상동점,00:00~24:00,"시급8,590",1분전
전남 목포시,롯데리아 목포상동점,00:00~24:00,"시급8,590",1분전
전남 목포시,롯데리아 목포상동점,00:00~24:00,"시급8,590",1분전
서울 중랑구,롯데리아 중화역점,08:00~14:00,"시급8,590",10분전
서울 중랑구,롯데리아 중화역점,08:00~14:00,"시급8,590",10분전
서울 중랑구,롯데리아 중화역점,08:00~14:00,"시급8,590",11분전
서울 중랑구,롯데리아 중화역점,08:00~14:00,"시급8,590",12분전
경기 평택시,롯데리아 평택진위DT점,17:00~22:00,"시급8,590",21분전
경기 오산시,롯데리아 평택진위DT점,17:00~22:00,"시급8,590",21분전
경북 포항시,롯데리아 포항죽도점,00:00~24:00,"시급8,590",24분전
경북 포항시,롯데리아 포항죽도점,11:00~24:00,"시급8,590",26분전
충남 보령시,롯데리아 보령동대점,10:00~22:00,"시급8,590",31분전
경기 부천시,롯데리아 부천중동점,08:30~01:00,"월급2,000,000",38분전
경기 부천시,롯데리아 부천중동점,08:30~01:00,"월급2,000,000",45분전
대전 대덕구,롯데리아 대전가양D/T점,07:00~16:00,"월급1,900,000",47분전
전북 전주시,롯데리아 전주고사점,00:00~24:00,"시급8,590",54분전
전북 전주시,롯데리아 전주고사점,00:00~24:00,"시급8,590",54분전
전북 전주시,롯데리아 전주고사점,00:00~24:00,"시급8,590",54분전
전북 전주시,롯데리아 전주고사점,00:00~24:00,"시급8,590",54분전
인천 남동구,롯데리아 인천구월점,08:00~23:00,"월급2,000,000",1시간전
인천 남동구,롯데리아 인천구월점,08:00~23:00,"월급2,000,000",1시간전
서울 관악구,롯데리아 봉천역점,17:00~23:00,"시급8,590",1시간전
서울 관악구,롯데리아 봉천역점,17:00~23:00,"시급8,590",1시간전
서울 관악구,롯데리아 봉천역점,17:00~23:00,"시급8,590",1시간전
경남 창원시,롯데리아 하나로마트남창원점,10:00~14:00,"시급8,590",1시간전
경남 창원시,롯데리아 하나로마트남창원점,18:00~21:50,"시급8,590",1시간전
경기 오산시,롯데리아 오산세교D/T점,10:00~18:00,"시급9,500",1시간전
경기 오산시,롯데리아 오산세교D/T점,10:00~18:00,"시급9,500",1시간전
경기 오산시,롯데리아 오산세교D/T점,14:00~22:00,"시급9,500",1시간전
경기 오산시,롯데리아 오산세교D/T점,14:00~22:00,"시급9,500",1시간전
경기 광주시,롯데리아 광주태전점,09:00~23:00,"시급8,590",1시간전
전북 전주시,롯데리아 전주평화점,11:00~22:00,"시급8,590",2시간전
전북 전주시,롯데리아 전주평화점,11:00~22:00,"시급8,590",2시간전
전북 전주시,롯데리아 전주평화점,11:00~22:00,"시급8,590",2시간전
전북 전주시,롯데리아 전주평화점,11:00~22:00,"시급8,590",2시간전
전남 나주시,롯데리아 나주혁신점,09:00~22:00,"시급8,590",2시간전
경남 창원시,롯데리아 창원상남점,00:00~24:00,"시급8,590",2시간전
전남 나주시,롯데리아 나주혁신점,09:00~22:00,"시급8,590",2시간전
전남 나주시,롯데리아 나주혁신점,09:00~22:00,"시급8,590",2시간전
