place,title,time,pay,date
서울 중랑구,부릉 중랑상봉지점,11:00~01:00,"건별3,000",1분전
서울 중랑구,부릉 중랑상봉지점,11:00~01:00,"건별3,000",1분전
경남 양산시,부릉 양산웅상지점,10:00~24:00,"건별3,000",12분전
서울 서대문,부릉 종로교남지점,10:00~00:30,"건별3,000",37분전
서울 서대문,부릉 종로교남지점,10:00~00:30,"건별3,000",38분전
부산 해운대,부릉 부산해운대우동지점,10:00~02:00,"건별3,000",58분전
부산 해운대,부릉 부산해운대우동지점,10:00~02:00,"건별3,000",58분전
부산 해운대,부릉 부산해운대우동지점,10:00~02:00,"건별3,000",58분전
서울 동작구,부릉 동작이수지점,11:00~01:00,"건별3,000",1시간전
서울 동작구,부릉 동작이수지점,11:00~01:00,"건별3,000",1시간전
부산 사상구,부릉 부산 사상지점,10:20~01:30,"일급100,000",1시간전
서울 양천구,[ VROONG ] 부릉 목동지점,09:00~02:00,"건별3,500",1시간전
광주 남구,부릉 광주진월지점,10:00~01:00,"건별2,700",2시간전
경기 안양시,안양동안지점,00:00~24:00,"건별3,000",2시간전
경기 성남시,부릉 성남중원수정지점,10:00~24:00,"건별3,000",2시간전
인천 전체,부릉 인천남동서창지점,10:00~01:00,"일급150,000",2시간전
인천 전체,부릉 인천남동서창지점,10:00~01:00,"일급150,000",2시간전
충북 청주시,부릉 청주상당지점,11:00~01:40,"건별3,000",2시간전
인천 미추홀,부릉 인천미추홀용현지점,10:00~02:00,"건별3,000",2시간전
경남 양산시,부릉 양산웅상지점,10:00~24:00,"건별3,000",3시간전
부산 북구,부산북구만덕지점,10:30~03:00,"일급100,000",3시간전
부산 북구,부산북구만덕지점,10:30~03:00,"일급100,000",3시간전
부산 사상구,부산북구만덕지점,10:30~03:00,"일급100,000",3시간전
경기 성남시,부릉 송파위례지점,10:00~01:00,"건별3,000",3시간전
경기 성남시,부릉 송파위례지점,10:00~01:00,"건별3,000",3시간전
서울 성북구,부릉 성북보문지점,10:00~24:00,"건별3,000",3시간전
서울 성북구,부릉 성북보문지점,10:00~24:00,"건별3,000",3시간전
부산 부산진,부릉 부산 사상지점,10:00~02:00,"건별3,000",3시간전
서울 성북구,부릉 성북보문지점,10:00~24:00,"건별3,000",3시간전
서울 송파구,부릉 송파가락지점,10:00~02:00,"건별3,000",4시간전
서울 송파구,부릉 송파가락지점,10:00~02:00,"건별3,000",4시간전
서울 송파구,부릉 송파가락지점,10:00~02:00,"건별3,000",4시간전
인천 미추홀,인천미추홀도화지점,10:00~02:00,"일급250,000",4시간전
인천 동구,인천미추홀도화지점,10:00~02:00,"일급250,000",4시간전
인천 미추홀,"부릉 인천 중구,동구지점",10:00~02:00,"일급250,000",4시간전
인천 중구,"부릉 인천 중구,동구지점",10:00~02:00,"일급250,000",4시간전
충북 청주시,부릉 청주서원지점,11:00~03:00,"건별3,000",4시간전
서울 양천구,[ VROONG ] 부릉 목동지점,09:00~02:00,"건별3,500",4시간전
서울 양천구,메쉬코리아 VROONG 부릉,09:00~02:00,"건별3,500",4시간전
경남 양산시,부릉 양산웅상지점,10:00~24:00,"건별3,000",4시간전
