place,title,time,pay,date
경기 김포시,더본코리아 역전우동0410 김포구래점,10:00~22:00,"월급2,600,000",3분전
광주 광산구,더본코리아 한신포차 광주상무점,10:00~20:00,"월급2,300,000",4분전
서울 용산구,더본코리아 홍콩반점0410 문배지점,10:30~20:30,"월급2,400,000",4분전
경기 시흥시,홍콩반점0410 시흥배곧신도시점,10:30~22:30,"월급2,500,000",9분전
서울 강서구,더본코리아 홍콩반점0410 마곡나루역,11:00~17:00,"시급9,000",13분전
인천 부평구,더본코리아 롤링파스타 부평로데오점,17:00~22:00,"시급8,590",13분전
강원 원주시,더본코리아 홍콩반점0410 원주단계점,22:00~10:00,"월급2,450,000",14분전
경기 광명시,더본코리아 홍콩반점0410 광명철산점,10:30~22:30,"월급2,600,000",15분전
부산 북구,미정국수0410 부산화명역점,09:00~15:00,"시급8,590",24분전
부산 기장군,더본코리아 본가 정관신도시점,10:30~10:00,"월급2,000,000",26분전
경남 김해시,더본코리아 홍콩반점0410 김해내동,09:30~21:30,"월급2,800,000",33분전
강원 춘천시,더본코리아 역전우동0410 춘천석사점,12:00~22:00,"시급9,000",33분전
경남 김해시,더본코리아 홍콩반점0410 김해내동,09:30~21:30,"월급2,800,000",33분전
충북 충주시,새마을식당 충주신연수점,17:30~05:30,"월급2,200,000",35분전
충북 충주시,새마을식당 충주신연수점,17:30~05:30,"월급2,200,000",35분전
충북 충주시,새마을식당 충주신연수점,17:00~05:00,"월급2,200,000",37분전
서울 강서구,더본코리아 한신포차 마곡나루역점,19:00~05:00,"월급2,490,000",41분전
인천 서구,더본코리아 홍콩반점0410 인천청라점,10:30~22:30,"월급2,000,000",41분전
서울 강서구,더본코리아 한신포차 마곡나루역점,19:00~05:00,"월급2,490,000",42분전
서울 성북구,더본코리아 새마을식당 성신여대점,10:00~22:00,"월급2,700,000",49분전
경기 오산시,더본코리아 역전우동0410 오산역점,10:00~22:30,"월급1,850,000",51분전
경기 오산시,더본코리아 역전우동0410 오산역점,10:00~22:30,"월급1,850,000",52분전
경기 시흥시,홍콩반점0410 시흥배곧신도시점,10:30~22:30,"월급2,500,000",55분전
경남 창원시,홍콩반점0410 창원경남대점,10:00~22:00,"월급2,400,000",56분전
경기 부천시,더본코리아 롤링파스타 부천역점,10:00~22:00,"월급2,300,000",57분전
서울 강서구,더본코리아 새마을식당 마곡나루역점,10:30~22:30,"월급2,550,000",58분전
경기 성남시,더본코리아 미정국수0410 모란역점,07:00~14:00,"시급8,590",59분전
인천 남동구,더본코리아 한신포차 인천구월점,18:30~01:00,"월급1,550,000",1시간전
경남 양산시,새마을식당 양산역점,18:00~24:00,"월급1,400,000",1시간전
인천 서구,더본코리아 홍콩반점0410 인천청라점,10:30~22:30,"월급2,000,000",1시간전
인천 연수구,홍콩반점0410 인천연수점,11:00~15:00,"시급8,590",1시간전
서울 강서구,더본코리아 홍콩반점0410 우장산역점,17:00~21:00,"시급10,308",1시간전
서울 강서구,더본코리아 홍콩반점0410 우장산역점,12:00~17:00,"시급10,308",1시간전
서울 강서구,더본코리아 홍콩반점0410 우장산역점,09:30~21:30,"월급2,800,000",1시간전
인천 전체,더본코리아 홍콩반점0410 인천석바위,10:00~22:00,"월급2,300,000",2시간전
광주 서구,더본코리아 한신포차 광주상무점,21:00~07:00,"시급8,800",2시간전
강원 춘천시,더본코리아 역전우동0410 춘천석사점,19:00~22:00,"시급9,000",2시간전
경기 오산시,더본코리아 역전우동0410 오산역점,10:00~22:30,"월급1,850,000",2시간전
경남 양산시,홍콩반점0410 양산역점,10:00~22:00,"월급2,300,000",2시간전
경기 오산시,더본코리아 역전우동0410 오산역점,10:00~22:30,"월급1,850,000",2시간전
