place,title,time,pay,date
전북 전주시,버거킹 전주송천DT점,08:00~24:00,"시급8,590",4분전
전북 전주시,버거킹 전주송천DT점,08:00~24:00,"시급8,590",4분전
세종 전체,버거킹 세종고운점,08:00~24:50,"시급8,590",6분전
전북 전주시,버거킹 전주송천DT점,08:00~24:00,"시급8,590",7분전
경기 이천시,이천CGV점,18:00~24:00,"시급8,590",11분전
대구 수성구,버거킹 대구지산점(S),18:00~23:00,"시급8,590",19분전
경남 김해시,버거킹 동김해DT점,08:00~24:00,"시급8,590",25분전
대전 서구,버거킹 대전관저점,09:00~24:00,"시급8,590",42분전
대전 유성구,버거킹 대전세종SK점,08:00~24:00,"시급8,590",54분전
대전 유성구,버거킹 대전세종SK점,08:00~24:00,"시급8,590",54분전
대전 유성구,버거킹 대전세종SK점,08:00~24:00,"시급8,590",54분전
대전 유성구,버거킹 대전세종SK점,08:00~24:00,"시급8,590",55분전
서울 송파구,버거킹 종합운동장사거리점,08:00~01:00,"시급8,590",59분전
경기 이천시,이천CGV점,18:00~24:00,"시급8,590",59분전
서울 송파구,버거킹 종합운동장사거리점,08:00~01:00,"시급8,590",59분전
서울 송파구,버거킹 종합운동장사거리점,08:00~01:00,"시급8,590",1시간전
부산 해운대,버거킹 부산센텀오일뱅크점,09:00~17:00,"시급8,590",1시간전
서울 중구,버거킹 숭례문점(S),00:00~24:00,"시급8,590",1시간전
전북 전주시,버거킹 전주송천DT점,08:00~24:00,"시급8,590",1시간전
서울 중구,버거킹 숭례문점(S),00:00~24:00,"시급8,590",1시간전
경기 이천시,이천CGV점,18:00~24:00,"시급8,590",1시간전
경기 군포시,버거킹 산본중앙점,09:00~17:00,"시급8,590",2시간전
인천 계양구,인천계양구청점,12:00~17:00,"시급8,590",2시간전
충북 진천군,버거킹 충북진천점(S),09:00~17:00,"시급8,590",2시간전
서울 양천구,버거킹 염창역점,18:00~01:00,"시급8,590",2시간전
서울 양천구,버거킹 염창역점,18:00~01:00,"시급8,590",2시간전
서울 양천구,버거킹 염창역점,18:00~01:00,"시급8,590",2시간전
경기 군포시,버거킹 산본중앙점,09:00~17:00,"시급8,590",2시간전
서울 양천구,버거킹 염창역점,18:00~01:00,"시급8,590",2시간전
서울 중구,버거킹 숭례문점(S),00:00~24:00,"시급8,590",2시간전
경기 시흥시,버거킹 배곧아브뉴프랑점,08:00~13:00,"시급8,590",2시간전
인천 연수구,버거킹 인천송도SK점,18:00~02:00,"시급8,590",2시간전
서울 중구,버거킹 숭례문점(S),00:00~24:00,"시급8,590",2시간전
서울 중구,버거킹 숭례문점(S),00:00~24:00,"시급8,590",2시간전
경기 수원시,버거킹 수원역사1점,00:00~24:00,"시급8,590",2시간전
경남 김해시,버거킹 동김해DT점,08:00~24:00,"시급8,590",2시간전
경기 수원시,버거킹 수원역사1점,00:00~24:00,"시급8,590",2시간전
경남 김해시,버거킹 동김해DT점,08:00~24:00,"시급8,590",2시간전
서울 도봉구,버거킹 쌍문점,18:00~01:30,"시급8,590",2시간전
세종 전체,버거킹 세종고운점,08:00~24:50,"시급8,590",2시간전
