place,title,time,pay,date
경북 영주시,성원아이북랜드 경북북부영업본부,16:00~20:00,"시급15,000",2시간전
경북 안동시,성원아이북랜드 경북북부영업본부,16:00~20:00,"월급1,200,000",2시간전
충남 아산시,성원아이북랜드 아산영업본부,10:00~17:00,"월급500,000",2시간전
충남 아산시,성원아이북랜드 아산영업본부,10:00~17:00,"월급500,000",2시간전
대전 전체,성원아이북랜드 대전문화영업본부,14:00~20:00,"월급800,000",2시간전
경기 용인시,성원아이북랜드 용인영업본부,13:30~20:40,"월급1,000,000",3시간전
경기 용인시,성원아이북랜드 용인영업본부,13:30~20:40,"월급1,000,000",3시간전
경기 용인시,성원아이북랜드 용인영업본부,13:30~20:40,"월급1,000,000",3시간전
대구 수성구,성원아이북랜드 대구중부영업본부,10:00~20:00,"건별30,000",4시간전
서울 강북구,성원아이북랜드 성북강북영업본부,14:00~20:00,"월급700,000",4시간전
서울 강북구,성원아이북랜드 성북강북영업본부,14:00~20:00,"월급700,000",4시간전
대구 남구,성원아이북랜드 대구중부영업본부,10:00~20:00,"건별30,000",4시간전
서울 강남구,성원아이북랜드 강남영업본부,14:00~20:00,"월급1,000,000",4시간전
서울 강남구,성원아이북랜드 강남영업본부,14:00~20:00,"월급1,000,000",4시간전
경기 고양시,성원아이북랜드 덕양영업본부,14:00~20:00,"시급10,000",5시간전
경기 고양시,성원아이북랜드 덕양영업본부,14:00~20:00,"시급10,000",5시간전
대구 달성군,성원아이북랜드 대구달서달성영업본부,10:00~19:00,"건별35,000",5시간전
대구 달성군,성원아이북랜드 대구달서달성영업본부,10:00~19:00,"건별35,000",5시간전
대구 달서구,성원아이북랜드 대구달서달성영업본부,10:00~19:00,"건별35,000",5시간전
서울 서대문,성원아이북랜드 서대문마포은평영업본부,10:00~20:00,"월급500,000",04/18
서울 마포구,성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"시급10,000",04/18
충남 천안시,성원아이북랜드 아이리더스쿨 천안/아산,13:00~17:00,"건별50,000",04/18
경남 창원시,성원아이북랜드 아이리더스쿨 창원사업국,13:00~17:00,"건별50,000",04/18
경기 구리시,성원아이북랜드 광진구리영업본부,14:00~20:00,"월급1,000,000",04/18
서울 송파구,성원아이북랜드 송파영업본부,14:00~20:00,"월급700,000",04/18
서울 송파구,성원아이북랜드 송파영업본부,14:00~20:00,"월급700,000",04/18
부산 부산진,성원아이북랜드 아이리더스쿨 부산남부사,13:00~17:00,"건별50,000",04/18
서울 노원구,성원아이북랜드 아이리더스쿨 동부사업국,13:00~17:00,"건별50,000",04/18
대구 달서구,성원아이북랜드 아이리더스쿨 대구달서사,13:00~17:00,"건별50,000",04/18
부산 사하구,성원아이북랜드 부산서부영업본부,14:00~20:00,"건별30,000",04/17
부산 서구,성원아이북랜드 부산서부영업본부,14:00~20:00,"건별30,000",04/17
부산 강서구,성원아이북랜드 부산서부영업본부,14:00~20:00,"건별30,000",04/17
부산 기장군,성원아이북랜드 부산동부영업본부,10:00~13:00,"건별30,000",04/13
부산 해운대,성원아이북랜드 부산동부영업본부,10:00~13:00,"건별30,000",04/13
부산 수영구,성원아이북랜드 부산동부영업본부,10:00~12:00,"건별30,000",04/13
경기 하남시,성원아이북랜드 하남영업본부,14:00~20:00,"건별35,000",04/12
울산 전체,성원아이북랜드 울산영업본부,10:00~19:00,"건별50,000",04/11
서울 광진구,성원아이북랜드 광진구리영업본부,14:00~20:00,"시급10,000",04/11
경기 구리시,성원아이북랜드 광진구리영업본부,14:00~20:00,"월급1,000,000",04/11
경기 하남시,성원아이북랜드 하남영업본부,14:00~20:00,"건별35,000",04/11
