place,title,time,pay,date
경기 고양시,슈펜 일산점,13:00~22:00,"월급1,900,000",6시간전
서울 용산구,슈펜 슈펜본부,09:00~18:00,"월급1,900,000",04/18
서울 용산구,슈펜 슈펜본부,09:00~18:00,"월급1,900,000",04/18
서울 용산구,슈펜 슈펜본부,09:00~18:00,"월급1,900,000",04/18
서울 용산구,슈펜 용산 아이파크몰점,09:00~18:00,"월급1,900,000",04/15
서울 용산구,슈펜 용산 아이파크몰점,09:00~18:00,"월급1,900,000",04/15
광주 전체,슈펜 광주역점,10:00~19:00,"월급1,900,000",04/11
광주 전체,슈펜 광주역점,10:00~19:00,"월급1,900,000",04/11
서울 송파구,슈펜 송파점,09:00~22:00,"월급1,900,000",04/11
경기 성남시,슈펜 송파점,09:00~22:00,"월급1,900,000",04/11
광주 전체,슈펜 광주역점,10:00~19:00,"월급1,900,000",04/10
