place,title,time,pay,date
경기 의정부,아소비 의정부양주지사,14:00~18:00,"월급2,000,000",1분전
경기 부천시,아소비 부천시흥지사,14:00~18:00,"월급2,000,000",4분전
경기 부천시,아소비 부천시흥지사,14:00~18:00,"월급2,000,000",4분전
경기 시흥시,아소비 부천시흥지사,14:00~18:00,"월급2,000,000",4분전
경기 여주시,아소비 여주지사,14:00~18:30,"월급2,000,000",18분전
경기 여주시,아소비 여주지사,14:00~18:30,"월급2,000,000",19분전
경기 이천시,아소비 이천지사,14:00~18:00,"월급2,000,000",19분전
경기 이천시,아소비 이천지사,14:00~18:00,"월급2,000,000",20분전
경기 광명시,아소비 광명지사,14:00~18:00,"월급1,800,000",20분전
경기 광주시,아소비 경기광주지사,14:00~18:30,"월급2,000,000",20분전
경기 광주시,아소비 경기광주지사,14:00~18:30,"월급2,000,000",21분전
경기 광주시,아소비 경기광주지사,14:00~18:30,"월급2,000,000",21분전
충남 천안시,아소비 충남지사,13:00~19:00,"월급1,700,000",25분전
충남 아산시,아소비 충남지사,13:00~19:00,"월급1,700,000",25분전
충남 당진시,아소비 당진서산지사,13:00~19:00,"월급1,700,000",26분전
충남 당진시,아소비 당진서산지사,13:00~19:00,"월급1,700,000",26분전
경기 광명시,아소비 광명지사,14:00~18:00,"월급1,800,000",26분전
경기 광명시,아소비 광명지사,14:00~18:00,"월급1,800,000",36분전
서울 양천구,아소비 구로강서양천지사,14:00~18:00,"월급1,800,000",41분전
서울 강서구,아소비 구로강서양천지사,14:00~18:00,"월급1,800,000",43분전
경기 안산시,아소비 안산지사,14:00~19:00,"월급1,800,000",2시간전
인천 연수구,아소비 인천지사,14:00~18:00,"월급1,800,000",2시간전
인천 부평구,아소비 인천지사,14:00~18:00,"월급1,800,000",2시간전
인천 서구,아소비 인천지사,14:00~18:00,"월급1,800,000",2시간전
경기 안산시,아소비 안산지사,13:00~19:00,"월급1,800,000",2시간전
서울 노원구,아소비 노원중랑지사,14:00~18:00,"월급1,800,000",2시간전
서울 노원구,아소비 노원중랑지사,14:00~18:00,"월급1,800,000",2시간전
서울 중랑구,아소비 노원중랑지사,14:00~18:00,"월급1,800,000",2시간전
경기 남양주,아소비 남양주구리지사,14:00~18:00,"월급1,800,000",2시간전
경기 남양주,아소비 남양주구리지사,14:00~18:00,"월급1,800,000",2시간전
서울 강북구,아소비 강북도봉지사,14:00~18:00,"월급2,000,000",3시간전
서울 강북구,아소비 강북도봉지사,14:00~18:00,"월급2,000,000",3시간전
서울 성북구,아소비 성북지사,14:00~18:00,"월급2,000,000",3시간전
서울 성북구,아소비 성북지사,14:00~18:00,"월급2,000,000",3시간전
서울 도봉구,아소비 성북지사,14:00~18:00,"월급2,000,000",3시간전
서울 동대문,아소비 동대문성동지사,14:00~19:00,"월급2,500,000",4시간전
서울 성동구,아소비 동대문성동지사,14:00~19:00,"월급2,500,000",4시간전
경남 진주시,아소비 진주거제지사,13:00~18:00,"월급1,700,000",5시간전
경남 진주시,아소비 진주거제지사,13:00~18:00,"월급1,700,000",5시간전
경남 진주시,아소비 진주거제지사,13:00~18:00,"월급1,700,000",5시간전
