place,title,time,pay,date
경기 시흥시,제일패션리테일(주),12:30~21:30,"시급10,310",7시간전
부산 연제구,제일패션리테일(주),13:00~22:00,"연봉26,120,000",04/07
부산 연제구,제일패션리테일(주),13:00~22:00,"연봉28,000,000",04/07
부산 사상구,제일패션리테일(주),13:00~22:00,"연봉28,000,000",04/07
부산 부산진,제일패션리테일(주),13:00~22:00,"연봉26,120,000",04/07
부산 부산진,제일패션리테일(주),13:00~22:00,"연봉28,000,000",04/07
부산 기장군,제일패션리테일(주),13:00~22:00,"연봉26,120,000",04/07
부산 기장군,제일패션리테일(주),13:00~22:00,"연봉28,000,000",04/07
대전 유성구,제일패션리테일(주),13:00~22:00,"연봉26,120,000",04/07
부산 중구,제일패션리테일(주),13:00~22:00,"연봉26,120,000",04/05
부산 중구,제일패션리테일(주),13:00~22:00,"연봉28,000,000",04/05
