place,title,time,pay,date
광주 광산구,웅진씽크빅 광주수완지국,15:00~20:00,"월급1,800,000",1분전
경기 시흥시,웅진씽크빅 시흥지국,14:00~19:00,"월급2,000,000",1분전
광주 광산구,웅진씽크빅 광주수완지국,15:00~20:00,"월급1,800,000",1분전
경남 전체,웅진씽크빅 창원서부지국,15:00~20:00,"월급1,500,000",2분전
경남 전체,웅진씽크빅 창원서부지국,14:00~19:00,"월급1,800,000",4분전
경남 전체,웅진씽크빅 창원서부지국,16:00~21:00,"월급2,000,000",5분전
경기 광주시,웅진씽크빅 경기광주지국,14:00~20:00,"월급2,000,000",6분전
인천 전체,웅진씽크빅 인천청라,14:00~18:00,"월급1,760,000",7분전
경기 시흥시,웅진씽크빅 시흥지국,14:00~19:00,"월급2,000,000",10분전
대구 달성군,웅진씽크빅 성서지국,14:00~18:00,"월급1,500,000",12분전
경기 안산시,웅진씽크빅 안산동부지국,12:00~19:00,"월급2,000,000",12분전
경기 시흥시,웅진씽크빅 시흥지국,14:00~19:00,"월급2,000,000",12분전
경남 통영시,웅진씽크빅 통영지국,15:00~21:00,"월급2,000,000",14분전
대구 달성군,웅진씽크빅 성서지국,14:00~18:00,"월급1,500,000",15분전
광주 북구,웅진씽크빅 광주일곡지국,14:00~20:00,"월급1,000,000",15분전
광주 북구,웅진씽크빅 광주일곡지국,14:00~19:00,"월급1,500,000",15분전
광주 북구,웅진씽크빅 광주일곡지국,14:00~19:00,"월급1,500,000",15분전
광주 북구,웅진씽크빅 광주일곡지국,14:00~20:00,"월급1,000,000",15분전
대구 전체,웅진씽크빅 성서지국,14:00~19:00,"월급1,500,000",15분전
경기 광주시,웅진씽크빅 경기광주지국,14:00~20:00,"월급2,000,000",18분전
서울 성동구,웅진씽크빅 성동지국,14:00~20:00,"월급1,700,000",21분전
서울 성동구,웅진씽크빅 성동지국,14:00~20:00,"월급1,700,000",21분전
서울 성동구,웅진씽크빅 성동지국,14:00~20:00,"월급1,700,000",21분전
서울 성동구,웅진씽크빅 성동지국,14:00~20:00,"월급1,700,000",21분전
전북 남원시,웅진씽크빅 남원지국,14:00~21:00,"월급2,000,000",22분전
충남 서산시,웅진씽크빅 서산남부지국,15:00~20:00,"월급1,800,000",24분전
경북 구미시,웅진씽크빅 구미북부지국,15:00~20:00,"월급1,600,000",24분전
경북 구미시,웅진씽크빅 구미북부지국,15:00~20:00,"월급1,600,000",25분전
충남 서산시,웅진씽크빅 서산남부지국,15:00~20:00,"월급1,800,000",25분전
충남 서산시,웅진씽크빅 서산남부지국,15:00~20:00,"월급1,800,000",26분전
경북 구미시,웅진씽크빅 구미북부지국,15:00~20:00,"월급1,600,000",26분전
경남 창원시,웅진씽크빅 진해지국,13:00~18:00,"월급1,500,000",26분전
인천 연수구,웅진씽크빅 송도지국,14:00~20:00,"월급1,700,000",26분전
경북 구미시,웅진씽크빅 구미북부지국,15:00~20:00,"월급1,600,000",27분전
경북 전체,웅진씽크빅 포항남부지국,15:00~20:00,"월급1,500,000",27분전
경북 전체,웅진씽크빅 포항남부지국,13:00~18:00,"월급2,500,000",27분전
경남 창원시,웅진씽크빅 마산지국,13:00~20:00,"월급1,500,000",29분전
전북 익산시,웅진씽크빅 익산동부지국,14:00~20:00,"월급1,800,000",29분전
경남 창원시,웅진씽크빅 마산지국,13:00~20:00,"월급1,500,000",30분전
서울 강동구,웅진씽크빅 강동지국,14:00~21:00,"월급2,000,000",31분전
