place,title,time,pay,date
경북 영주시,장원교육 영주,09:30~18:30,"월급3,000,000",10분전
경북 영주시,장원교육 영주,10:00~18:00,"월급2,000,000",10분전
울산 북구,장원교육 울산북,10:00~20:00,"월급2,000,000",11분전
경남 김해시,장원교육 김해,15:00~21:00,"월급1,500,000",12분전
대구 서구,장원교육 대구서구,10:00~18:00,"월급2,000,000",14분전
경북 상주시,장원교육 구미북,14:00~21:00,"월급1,800,000",15분전
경북 칠곡군,장원교육 왜관,09:30~18:30,"월급2,000,000",15분전
경기 성남시,장원교육 위례,10:00~20:00,"연봉20,000,000",15분전
대구 전체,장원교육 대구시지,10:00~21:00,"월급1,500,000",17분전
대구 동구,장원교육 대구동구,15:00~21:30,"월급1,800,000",17분전
충북 청주시,장원교육 청원,14:00~21:00,"월급1,800,000",19분전
충남 아산시,장원교육 신아산,10:00~20:00,"월급2,000,000",20분전
경기 평택시,장원교육 평택남부,10:00~18:00,"월급1,800,000",21분전
경기 안성시,장원교육 안성,15:00~21:00,"월급1,700,000",22분전
경기 안성시,장원교육 안성,15:00~21:00,"월급1,700,000",22분전
경기 군포시,장원교육 군포과천,10:00~21:00,"월급2,000,000",23분전
서울 금천구,장원교육 금천,10:00~20:00,"월급2,000,000",27분전
서울 금천구,장원교육 금천,10:00~20:00,"월급2,000,000",27분전
경기 부천시,장원교육 부천소사,10:00~19:00,"월급2,000,000",27분전
인천 부평구,장원교육 인천부평,10:00~20:00,"월급2,000,000",31분전
인천 부평구,장원교육 인천부평,10:00~20:00,"월급2,000,000",31분전
인천 부평구,장원교육 인천부평,10:00~20:00,"월급2,000,000",31분전
인천 부평구,장원교육 인천부평,10:00~20:00,"월급2,000,000",31분전
경기 김포시,장원교육 김포,10:00~20:00,"월급2,000,000",32분전
경기 광명시,장원교육 광명,14:00~20:00,"월급2,000,000",32분전
경기 광명시,장원교육 광명,14:00~20:00,"월급2,000,000",32분전
경기 광명시,장원교육 광명,14:00~20:00,"월급2,000,000",32분전
경기 광명시,장원교육 광명,14:00~20:00,"월급2,000,000",32분전
서울 중구,장원교육 중구용산,10:00~18:00,"월급2,000,000",36분전
서울 중구,장원교육 중구용산,10:00~18:00,"월급2,000,000",36분전
서울 중구,장원교육 중구용산,10:00~18:00,"월급2,000,000",36분전
서울 중구,장원교육 중구용산,10:00~18:00,"월급2,000,000",36분전
서울 강북구,장원교육 서울강북,10:00~18:00,"월급2,000,000",38분전
강원 춘천시,장원교육 춘천서,10:00~18:00,"월급2,000,000",39분전
충남 천안시,장원교육 천안,09:30~18:30,"연봉15,000,000",45분전
대전 서구,장원교육 남대전,10:00~22:00,"월급1,800,000",47분전
경기 수원시,장원교육 수원권선,10:00~20:00,"월급1,800,000",50분전
경기 수원시,장원교육 수원영통,10:00~21:00,"월급1,800,000",51분전
인천 전체,장원교육 인천서구,14:00~21:00,"월급1,500,000",51분전
인천 전체,장원교육 인천서구,14:00~21:00,"월급1,500,000",51분전
