place,title,time,pay,date
경북 구미시,크리스피 크림 도넛 대구범어점,15:00~22:00,"시급8,590",36분전
경기 파주시,크리스피크림도넛  롯데파주아울렛점,14:00~21:00,"시급8,590",38분전
경북 구미시,크리스피 크림 도넛 대구범어점,09:30~22:00,"시급8,590",40분전
대구 수성구,크리스피 크림 도넛 대구범어점,23:00~07:00,"시급8,590",46분전
경남 양산시,크리스피크림도넛 울산삼산점,15:00~22:00,"시급8,590",2시간전
경기 의정부,크리스피크림도넛 강남역점,09:30~22:00,"시급8,590",2시간전
경기 의정부,크리스피크림도넛 강남역점,09:30~22:00,"시급8,590",2시간전
인천 서구,크리스피크림도넛  건대스타시티점,09:30~16:00,"시급8,590",2시간전
경남 김해시,크리스피크림도넛  롯데김해아울렛점,11:00~18:00,"시급8,590",3시간전
서울 광진구,크리스피크림도넛  건대스타시티점,07:00~14:00,"시급8,690",4시간전
서울 광진구,크리스피크림도넛  건대스타시티점,16:30~23:00,"시급8,590",4시간전
서울 광진구,크리스피크림도넛  건대스타시티점,16:30~23:00,"시급8,590",4시간전
경기 평택시,크리스피크림도넛  AK평택점,11:00~16:00,"시급8,590",5시간전
대구 동구,크리스피크림도넛  대구롯데이시아폴리스,10:00~15:00,"시급8,590",5시간전
경기 화성시,크리스피크림도넛  수원인계점,09:30~15:30,"시급8,590",6시간전
경기 평택시,크리스피크림도넛  AK평택점,17:30~20:30,"시급8,590",6시간전
서울 성동구,크리스피크림도넛 노원점,09:30~16:00,"시급8,590",7시간전
서울 성동구,크리스피크림도넛 노원점,09:30~16:00,"시급8,590",7시간전
서울 성동구,크리스피크림도넛 노원점,15:00~22:30,"시급8,590",7시간전
서울 성동구,크리스피크림도넛 노원점,15:00~22:30,"시급8,590",7시간전
서울 관악구,크리스피크림도넛  사당점,15:00~23:00,"시급8,590",8시간전
서울 강남구,크리스피크림도넛  대치점,07:00~16:00,"시급8,690",14시간전
서울 강남구,크리스피크림도넛  대치점,07:00~16:00,"시급8,690",14시간전
서울 강남구,크리스피크림도넛  대치점,07:00~16:00,"시급8,690",14시간전
서울 강남구,크리스피크림도넛  대치점,07:00~16:00,"시급8,690",14시간전
경북 포항시,크리스피크림도넛 울산삼산점,09:30~22:00,"시급8,590",04/18
충북 청주시,크리스피크림도넛  청주터미널점,13:00~17:30,"시급8,590",04/18
서울 송파구,크리스피크림도넛  잠실롯데월드몰점,08:00~15:00,"시급8,590",04/15
서울 송파구,크리스피크림도넛  잠실롯데월드몰점,08:00~15:00,"시급8,590",04/15
경북 포항시,크리스피크림도넛 울산삼산점,09:30~22:00,"시급8,590",04/14
