place,title,time,pay,date
서울 용산구,하남F&B 남영점,18:30~21:00,"시급8,600",4분전
경기 고양시,하남F&B 일산웨스턴돔점,18:00~12:30,"월급1,750,000",45분전
서울 성북구,하남F&B 종암점,18:00~22:00,"시급8,700",1시간전
서울 성북구,하남F&B 종암점,18:00~22:00,"시급8,700",1시간전
대전 유성구,하남F&B 대전관평점,17:00~23:00,"시급8,590",2시간전
서울 마포구,하남F&B 애오개역점,15:30~01:00,"월급2,300,000",3시간전
경기 의정부,하남F&B 의정부호원점,15:00~23:30,"월급2,300,000",3시간전
서울 강서구,하남F&B 오목교역점,18:30~22:00,"시급9,000",3시간전
서울 강서구,하남F&B 오목교역점,15:00~24:00,"월급2,300,000",3시간전
경기 남양주,하남F&B 남양주별내점,15:00~24:00,"월급2,100,000",3시간전
경기 남양주,하남F&B 남양주별내점,15:00~24:00,"월급2,100,000",3시간전
경기 광주시,하남F&B 광주경안점,16:00~11:00,"월급1,800,000",3시간전
경기 안양시,하남F&B 안양일번가점,18:00~00:00,"시급9,500",3시간전
서울 마포구,하남F&B 애오개역점,18:00~22:00,"시급10,000",3시간전
서울 금천구,하남F&B 시흥사거리점,19:00~22:00,"시급8,590",4시간전
서울 금천구,하남F&B 시흥사거리점,18:30~21:30,"시급8,590",4시간전
서울 노원구,하남F&B 중계은행점,15:30~24:00,"월급2,300,000",6시간전
서울 강남구,하남F&B 선릉1호점,10:00~10:00,"월급2,500,000",6시간전
서울 강남구,하남F&B 선릉1호점,17:00~05:00,"월급2,500,000",6시간전
서울 성동구,하남F&B 성수역점,16:00~24:00,"월급2,000,000",6시간전
서울 노원구,하남F&B 중계은행점,15:30~24:00,"월급2,300,000",7시간전
경기 성남시,하남F&B 분당서현점,15:00~24:00,"월급1,600,000",8시간전
경기 성남시,하남F&B 분당서현점,15:00~24:00,"월급1,600,000",8시간전
경기 성남시,하남F&B 분당서현점,15:00~24:00,"시급10,000",8시간전
경기 하남시,하남F&B 미사역점,17:00~23:30,"시급9,000",12시간전
경기 고양시,하남F&B 일산라페스타점,18:00~00:50,"월급1,750,000",04/19
경기 하남시,하남F&B 미사역점,17:00~23:30,"시급9,000",04/19
서울 성북구,하남F&B 정릉점,18:00~21:30,"시급8,600",04/18
서울 마포구,하남F&B 애오개역점,15:30~01:00,"월급2,300,000",04/18
서울 전체,하남F&B 압구정로데오점,16:00~01:00,"월급2,700,000",04/17
경기 안양시,하남F&B 안양범계점,14:00~24:00,"월급2,300,000",04/17
경기 안양시,하남F&B 안양평촌점,15:00~01:00,"월급2,300,000",04/17
서울 영등포,하남F&B 보라매역점,15:00~23:00,"월급2,000,000",04/17
전국 전체,하남F&B 인천논현점,18:30~22:00,"시급10,500",04/16
전국 전체,하남F&B 인천논현점,17:00~01:00,"월급1,900,000",04/16
경기 광명시,하남F&B 철산점,18:30~21:30,"시급9,000",04/15
세종 도담동,하남F&B 세종도담점,18:30~22:00,"시급9,000",04/14
경기 고양시,하남F&B 일산웨스턴돔점,18:00~12:30,"월급1,750,000",04/14
서울 서초구,하남F&B 반포점,18:00~22:00,"시급8,900",04/13
서울 강남구,하남F&B 강남역CGV점,18:00~24:00,"월급1,500,000",04/11
