place,title,time,pay,date
인천 서구,한솔교육 서인천지점,15:00~19:30,"월급1,700,000",36분전
서울 노원구,한솔교육 강북노원지점,10:00~19:00,"월급1,800,000",36분전
서울 노원구,한솔교육 강북노원지점,10:00~19:00,"월급1,800,000",36분전
인천 서구,한솔교육 서인천지점,15:00~19:40,"월급1,700,000",37분전
인천 서구,한솔교육 서인천지점,15:00~19:40,"월급1,700,000",37분전
서울 도봉구,한솔교육 강북노원지점,10:00~19:00,"월급1,800,000",42분전
서울 도봉구,한솔교육 강북노원지점,10:00~19:00,"월급1,800,000",43분전
서울 강북구,한솔교육 강북노원지점,10:00~19:00,"월급1,800,000",43분전
전북 전주시,한솔교육전주중앙지점,10:00~21:00,"월급1,500,000",1시간전
인천 남동구,한솔교육 인천중앙지점,13:00~20:00,"월급1,800,000",1시간전
전북 전주시,한솔교육전주중앙지점,10:00~21:00,"월급1,500,000",1시간전
경기 시흥시,한솔교육 시흥지점,15:00~19:00,"월급2,000,000",1시간전
제주 제주시,한솔교육 제주플라톤센터,14:00~21:00,"월급1,800,000",2시간전
세종 종촌동,한솔교육세종지점,15:00~21:30,"월급2,000,000",2시간전
경기 부천시,한솔교육 부천지점,15:00~21:00,"월급1,800,000",2시간전
경기 부천시,한솔교육 부천지점,11:00~21:00,"월급1,800,000",2시간전
경남 양산시,(주)한솔교육,15:00~21:00,"월급1,800,000",2시간전
서울 전체,한솔교육 강남지점,15:00~20:00,"월급2,000,000",2시간전
서울 강남구,한솔교육 강남지점,15:00~20:00,"월급2,000,000",2시간전
서울 서초구,한솔교육 강남지점,15:00~20:00,"월급2,000,000",2시간전
세종 종촌동,한솔교육세종지점,15:00~21:30,"월급2,000,000",2시간전
서울 성북구,한솔교육 성북지점,10:00~21:00,"월급1,500,000",2시간전
충남 서산시,한솔교육 서산지점,15:00~21:00,"월급2,000,000",2시간전
충남 서산시,한솔교육 서산지점,15:00~21:00,"월급2,000,000",2시간전
전남 목포시,한솔교육 주니어플라톤,14:00~20:00,"월급1,500,000",2시간전
경기 시흥시,한솔교육 시흥지점,15:00~20:30,"월급1,900,000",2시간전
경남 김해시,한솔교육 김해지점,15:00~21:00,"월급1,700,000",2시간전
경남 김해시,한솔교육 김해지점,15:00~21:00,"월급1,700,000",2시간전
경기 광주시,한솔교육 경기광주지점,14:00~20:00,"월급2,000,000",2시간전
전남 목포시,한솔교육 주니어플라톤,14:00~20:00,"월급1,500,000",3시간전
경기 광주시,한솔교육 경기광주지점,14:00~20:00,"월급2,000,000",3시간전
세종 종촌동,한솔교육세종지점,15:00~21:30,"월급2,000,000",3시간전
대전 유성구,한솔교육대전유성지점,14:00~20:00,"월급2,400,000",3시간전
대전 유성구,한솔교육대전유성지점,14:00~20:00,"월급2,400,000",3시간전
대전 유성구,한솔교육대전유성지점,14:00~20:00,"월급2,400,000",3시간전
전남 목포시,한솔교육 주니어플라톤,14:00~20:00,"월급1,500,000",3시간전
경남 창원시,한솔교육 마산진해지점,14:00~21:00,"월급1,600,000",3시간전
경남 창원시,한솔교육 마산진해지점,14:00~21:00,"월급1,600,000",3시간전
경남 창원시,(주)한솔교육 마산진해지점,15:00~21:00,"월급1,600,000",3시간전
전남 여수시,(주)한솔교육 여수지점,13:00~21:00,"월급2,000,000",3시간전
