place,title,time,pay,date
경기 평택시,누나홀닭동삭자이점,16:30~02:00,"시급8,590",56분전
서울 송파구,주)애드베이스,09:00~18:00,"월급1,800,000",56분전
경기 화성시,강남포차,19:00~24:00,"시급9,000",56분전
서울 광진구,황제바베큐,18:00~24:00,"시급8,590",2시간전
대구 달서구,생각대로용산점,11:00~24:00,"월급3,500,000",2시간전
광주 북구,스파이더대행.행스배달.배달대행.푸드퀵,시간협의,"건별3,000",2시간전
서울 송파구,스파이더배달대행,시간협의,"일급150,000",2시간전
서울 송파구,스파이더배달대행,시간협의,"일급200,000",2시간전
서울 강북구,은사즉석떡볶이미아점,18:00~21:00,"시급8,590",3시간전
서울 동대문,주)가평상사,07:00~10:30,"월급700,000",3시간전
경기 남양주,푸라닭 도농역점,시간협의,"시급9,000",3시간전
서울 강서구,강서탑마트,시간협의,"월급3,000,000",3시간전
경기 의왕시,모로미쿠시 계원점,04:00~03:00,"시급10,000",3시간전
대구 전체,라라코스트 용산점,10:30~21:30,"연봉25,000,000",3시간전
대전 서구,(주)비즈인에셋,10:00~16:00,"월급2,000,000",3시간전
대전 유성구,(주)비즈인에셋,10:00~16:00,"월급2,000,000",3시간전
부산 사하구,디에이치컴퍼니,20:00~02:00,"시급8,590",4시간전
전남 광양시,태영생막창 광양점,18:00~22:00,"시급9,000",4시간전
경기 용인시,에르베플라워아울렛,09:00~19:00,"시급10,000",4시간전
경기 평택시,싸움의고수,11:00~21:00,"일급90,000",5시간전
광주 광산구,신쭈꾸미,18:00~10:00,"시급8,590",6시간전
경기 부천시,올드뉴,시간협의,"시급15,000",7시간전
부산 강서구,방이편백 육분삼십 부산 명지점,10:00~10:00,"월급2,400,000",7시간전
대전 유성구,바른콜,시간협의,"월급3,500,000",7시간전
대전 유성구,바른콜,시간협의,"월급3,500,000",7시간전
부산 남구,땡초김밥,11:00~21:00,"월급2,000,000",7시간전
전북 전주시,하루일기,시간협의,"시급8,590",8시간전
인천 서구,카페요일,시간협의,"월급1,800,000",8시간전
대구 달서구,생각대로용산점,11:00~24:00,"월급3,500,000",21시간전
부산 사하구,용범이네인계동껍데기괴정점,20:00~02:00,"시급8,590",22시간전
부산 사하구,용범이네인계동껍데기괴정점,20:00~02:00,"시급8,590",22시간전
경기 수원시,문어스토리 해천 본점,17:00~22:00,"월급1,400,000",23시간전
부산 사하구,디에이치컴퍼니,20:00~02:00,"시급8,590",23시간전
서울 구로구,큰맘할매순대국,10:00~14:00,"시급9,500",04/19
서울 구로구,큰맘할매순대국,11:00~14:00,"시급8,590",04/19
경남 창원시,스시혼마산점,10:00~14:00,"시급8,590",04/19
충북 청주시,이종구항아리짬뽕,09:00~09:00,"월급2,200,000",04/18
대구 전체,라라코스트 용산점,10:30~21:30,"연봉25,000,000",04/18
경기 수원시,우리가사랑하는동네,19:00~23:30,"시급8,590",04/18
경기 평택시,호식이두마리치킨,05:30~11:00,"시급8,700",04/18
